Vmem,tun,Energy
0,5.911968E-01,2.383148E-13
0,5.919218E-01,2.391081E-13
0,5.926473E-01,2.398040E-13
0,5.933734E-01,2.405040E-13
0,5.941001E-01,2.412004E-13
0,5.948273E-01,2.419182E-13
0,5.955551E-01,2.426191E-13
0,5.962835E-01,2.433214E-13
0,5.970124E-01,2.440243E-13
0,5.977418E-01,2.447278E-13
0,5.984718E-01,2.454349E-13
0,5.992023E-01,2.461450E-13
0,5.999334E-01,2.468517E-13
0,6.006651E-01,2.475392E-13
0,6.013972E-01,2.482482E-13
0,6.021300E-01,2.489896E-13
0,6.028547E-01,2.496559E-13
0,6.035885E-01,2.503679E-13
0,6.043228E-01,2.510826E-13
0,6.050726E-01,2.518118E-13
0,6.058086E-01,2.525256E-13
0,6.065451E-01,2.532436E-13
0,6.072822E-01,2.539620E-13
0,6.080411E-01,2.547853E-13
0,6.087788E-01,2.555066E-13
0,6.095391E-01,2.562441E-13
0,6.102776E-01,2.569671E-13
0,6.110167E-01,2.576916E-13
0,6.117563E-01,2.584163E-13
0,6.124965E-01,2.591438E-13
0,6.132372E-01,2.598721E-13
0,6.139785E-01,2.606007E-13
0,6.146336E-01,2.612460E-13
0,6.153494E-01,2.619506E-13
0,6.160935E-01,2.626961E-13
0,6.168431E-01,2.634529E-13
0,6.175891E-01,2.641944E-13
0,6.183357E-01,2.649365E-13
0,6.190831E-01,2.657372E-13
0,6.198311E-01,2.664778E-13
0,6.205799E-01,2.672181E-13
0,6.213228E-01,2.679548E-13
0,6.220725E-01,2.686989E-13
0,6.228230E-01,2.694248E-13
0,6.235743E-01,2.701714E-13
0,6.243252E-01,2.709174E-13
0,6.251720E-01,2.717116E-13
0,6.259262E-01,2.724640E-13
0,6.266214E-01,2.731567E-13
0,6.273716E-01,2.739046E-13
0,6.281223E-01,2.746599E-13
0,6.288735E-01,2.754126E-13
0,6.296251E-01,2.761648E-13
0,6.303772E-01,2.769148E-13
0,6.311298E-01,2.776743E-13
0,6.318829E-01,2.784291E-13
0,6.326364E-01,2.791835E-13
0,6.333904E-01,2.799407E-13
0,6.341449E-01,2.806735E-13
0,6.348999E-01,2.814361E-13
0,6.356553E-01,2.823666E-13
0,6.364112E-01,2.832315E-13
0,6.371675E-01,2.839865E-13
0,6.379243E-01,2.845933E-13
0,6.390226E-01,2.856819E-13
0,6.397785E-01,2.864216E-13
0,6.405350E-01,2.872542E-13
0,6.412918E-01,2.880292E-13
0,6.427824E-01,2.895166E-13
0,6.435466E-01,2.903219E-13
0,6.443118E-01,2.911009E-13
0,6.450769E-01,2.918807E-13
0,6.458425E-01,2.926614E-13
0,6.466086E-01,2.934301E-13
0,6.473752E-01,2.942131E-13
0,6.481423E-01,2.949778E-13
0,6.489099E-01,2.957542E-13
0,6.496780E-01,2.964248E-13
0,6.504465E-01,2.973518E-13
0,6.512156E-01,2.981419E-13
0,6.519851E-01,2.989302E-13
